========== FactorVAEModel 训练配置 ==========
d_feat: 20
time_span: 20
stock_size: 300
latent_size: 64
factor_size: 16
gru_input_size: 20
hidden_size: 64
gamma: 1.0
n_epochs: 300
lr: 0.001
early_stop: 30
batch_size: 512
optimizer: adam
GPU: 6
seed: None
===================================================

========== 训练过程 ==========
Epoch 0: train_loss 1.2010, valid_loss 3.9572
Epoch 1: train_loss 1.1434, valid_loss 3.9118
Epoch 2: train_loss 1.1385, valid_loss 3.9184
Epoch 3: train_loss 1.1374, valid_loss 3.8944
Epoch 4: train_loss 1.1321, valid_loss 3.8830
Epoch 5: train_loss 1.1303, valid_loss 3.8829
Epoch 6: train_loss 1.1299, valid_loss 3.8789
Epoch 7: train_loss 1.1285, valid_loss 3.8718
Epoch 8: train_loss 1.1277, valid_loss 3.8682
Epoch 9: train_loss 1.1274, valid_loss 3.8667
Epoch 10: train_loss 1.1269, valid_loss 3.8663
Epoch 11: train_loss 1.1265, valid_loss 3.8662
Epoch 12: train_loss 1.1262, valid_loss 3.8647
Epoch 13: train_loss 1.1258, valid_loss 3.8623
Epoch 14: train_loss 1.1255, valid_loss 3.8611
Epoch 15: train_loss 1.1251, valid_loss 3.8605
Epoch 16: train_loss 1.1247, valid_loss 3.8600
Epoch 17: train_loss 1.1244, valid_loss 3.8584
Epoch 18: train_loss 1.1240, valid_loss 3.8565
Epoch 19: train_loss 1.1235, valid_loss 3.8549
Epoch 20: train_loss 1.1231, valid_loss 3.8538
Epoch 21: train_loss 1.1226, valid_loss 3.8520
Epoch 22: train_loss 1.1220, valid_loss 3.8502
Epoch 23: train_loss 1.1215, valid_loss 3.8486
Epoch 24: train_loss 1.1209, valid_loss 3.8472
Epoch 25: train_loss 1.1202, valid_loss 3.8449
Epoch 26: train_loss 1.1195, valid_loss 3.8433
Epoch 27: train_loss 1.1188, valid_loss 3.8406
Epoch 28: train_loss 1.1180, valid_loss 3.8389
Epoch 29: train_loss 1.1172, valid_loss 3.8365
Epoch 30: train_loss 1.1165, valid_loss 3.8351
Epoch 31: train_loss 1.1157, valid_loss 3.8336
Epoch 32: train_loss 1.1150, valid_loss 3.8316
Epoch 33: train_loss 1.1142, valid_loss 3.8295
Epoch 34: train_loss 1.1135, valid_loss 3.8280
Epoch 35: train_loss 1.1127, valid_loss 3.8260
Epoch 36: train_loss 1.1119, valid_loss 3.8228
Epoch 37: train_loss 1.1112, valid_loss 3.8212
Epoch 38: train_loss 1.1106, valid_loss 3.8194
Epoch 39: train_loss 1.1098, valid_loss 3.8160
Epoch 40: train_loss 1.1091, valid_loss 3.8149
Epoch 41: train_loss 1.1084, valid_loss 3.8128
Epoch 42: train_loss 1.1078, valid_loss 3.8114
Epoch 43: train_loss 1.1071, valid_loss 3.8092
Epoch 44: train_loss 1.1065, valid_loss 3.8074
Epoch 45: train_loss 1.1059, valid_loss 3.8060
Epoch 46: train_loss 1.1053, valid_loss 3.8049
Epoch 47: train_loss 1.1047, valid_loss 3.8041
Epoch 48: train_loss 1.1042, valid_loss 3.8007
Epoch 49: train_loss 1.1037, valid_loss 3.8014
Epoch 50: train_loss 1.1033, valid_loss 3.7988
Epoch 51: train_loss 1.1027, valid_loss 3.7972
Epoch 52: train_loss 1.1022, valid_loss 3.7953
Epoch 53: train_loss 1.1017, valid_loss 3.7946
Epoch 54: train_loss 1.1013, valid_loss 3.7941
Epoch 55: train_loss 1.1011, valid_loss 3.7917
Epoch 56: train_loss 1.1006, valid_loss 3.7943
Epoch 57: train_loss 1.1001, valid_loss 3.7916
Epoch 58: train_loss 1.0998, valid_loss 3.7900
Epoch 59: train_loss 1.0996, valid_loss 3.7885
Epoch 60: train_loss 1.0992, valid_loss 3.7885
Epoch 61: train_loss 1.0988, valid_loss 3.7894
Epoch 62: train_loss 1.0984, valid_loss 3.7858
Epoch 63: train_loss 1.0981, valid_loss 3.7859
Epoch 64: train_loss 1.0978, valid_loss 3.7867
Epoch 65: train_loss 1.0975, valid_loss 3.7843
Epoch 66: train_loss 1.0972, valid_loss 3.7832
Epoch 67: train_loss 1.0970, valid_loss 3.7833
Epoch 68: train_loss 1.0968, valid_loss 3.7833
Epoch 69: train_loss 1.0965, valid_loss 3.7835
Epoch 70: train_loss 1.0963, valid_loss 3.7806
Epoch 71: train_loss 1.0961, valid_loss 3.7805
Epoch 72: train_loss 1.0958, valid_loss 3.7810
Epoch 73: train_loss 1.0956, valid_loss 3.7809
Epoch 74: train_loss 1.0952, valid_loss 3.7818
Epoch 75: train_loss 1.0950, valid_loss 3.7795
Epoch 76: train_loss 1.0949, valid_loss 3.7785
